,Distribute,Modify,Commercial Use,Hold Liable,Include Copyright,Include License,Sublicense,Use Trademark,Private Use,Disclose Source,State Changes,Place Warranty,Include Notice,Include Original,Give Credit,Use Patent Claims,Rename,Relicense,Contact Author,Include Install Instructions,Compensate for Damages,Statically Link,Pay Above Use Threshold
Apache License 2.0___Apache-2.0,can,can,can,cannot,must,must,can,cannot,can,NOmentioned,must,can,must,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
MIT License___MIT-license,can,can,can,cannot,must,must,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Microsoft Public License (MS-PL),can,can,can,cannot,must,must,can,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
GNU General Public License v2.0 only___GPL-2.0-only,can,can,can,cannot,must,must,cannot,NOmentioned,NOmentioned,must,must,can,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
GNU General Public License v3.0 only___GPL-3.0-only,can,can,can,cannot,must,must,cannot,NOmentioned,NOmentioned,must,must,can,NOmentioned,must,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned
Mozilla Public License 2.0___(MPL-2.0),can,can,can,cannot,must,must,can,cannot,NOmentioned,must,NOmentioned,can,NOmentioned,must,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
GNU Lesser General Public License v2.1 only___LGPL-2.1-only,can,can,can,cannot,must,must,cannot,NOmentioned,NOmentioned,must,must,NOmentioned,must,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
BSD-2-Clause,can,can,can,cannot,must,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
BSD-3-Clause,can,can,can,cannot,must,must,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
zlib License___Zlib-license,can,can,can,cannot,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Common Development and Distribution License (CDDL-1.0),can,can,can,cannot,must,must,can,cannot,NOmentioned,must,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Beer Recipe License (BRL),can,can,can,cannot,must,must,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
psfrag License___psfrag-license,can,can,can,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Creative Commons Attribution 3.0 Unported (CC-BY),can,can,can,cannot,must,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Creative Commons Attribution NoDerivs (CC-ND),can,cannot,can,cannot,must,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Creative Commons Attribution NonCommercial___CC-BY-NC-4.0,can,can,cannot,cannot,must,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,must,cannot,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Creative Commons Attribution Share Alike (CC-SA),can,can,can,cannot,must,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Creative Commons Attribution NonCommercial ShareAlike (CC-NC-SA),can,can,cannot,cannot,must,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Creative Commons Attribution NonCommercial NoDerivs (CC-NC-ND),can,cannot,cannot,cannot,must,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Academic Free License (AFL),can,can,can,cannot,must,NOmentioned,can,cannot,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Artistic License 2.0 (Artistic-2.0),can,can,can,cannot,NOmentioned,NOmentioned,can,cannot,can,NOmentioned,must,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned
PHP License 3.0,can,can,can,cannot,must,must,can,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Simple Public License 2.0,can,can,can,can,NOmentioned,must,cannot,NOmentioned,NOmentioned,must,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Eclipse Public License 1.0 (EPL-1.0),can,can,can,cannot,must,must,can,cannot,can,must,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,must,must,NOmentioned,NOmentioned
IPA Font,can,can,can,cannot,NOmentioned,must,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
IBM Public License,can,can,can,cannot,NOmentioned,must,can,cannot,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Apple Public Source License (APSL),can,can,can,cannot,must,must,can,cannot,NOmentioned,must,must,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
University of Illinois - NCSA Open Source (NCSA),can,can,can,cannot,NOmentioned,must,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Do What The Fuck You Want To Public License___WTFPL-license,can,can,can,NOmentioned,can,can,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Boost Software License 1.0 (BSL-1.0),can,can,can,cannot,must,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
ISC License___ISC-license,can,can,can,cannot,must,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Beerware License___Beerware-license,can,can,can,NOmentioned,must,can,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned
Microsoft Reciprocal License (Ms-RL),can,can,can,cannot,must,must,can,cannot,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Python Software Foundation License 2.0___PSF-2.0,can,can,can,cannot,must,must,NOmentioned,cannot,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
GNU Affero General Public License v3.0 only___AGPL-3.0-only,can,can,can,cannot,must,must,cannot,NOmentioned,NOmentioned,must,must,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned
SIL Open Font License v1.1 (OFL-1.1),can,can,can,NOmentioned,NOmentioned,must,cannot,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
TÃ³ca Operating System General (TOSG-2.00),can,can,can,cannot,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,must,must,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned
The Code Project Open License (CPOL),can,can,can,cannot,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
ODC Open Database License (ODbL),can,can,can,cannot,NOmentioned,must,cannot,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
DON'T BE A DICK PUBLIC LICENSE,can,can,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
X11 License,can,can,can,cannot,must,must,can,cannot,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
JSON License,can,can,can,cannot,must,must,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Lisp Lesser General Public License (LLGPL),can,can,can,cannot,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Common Public Attribution License (CPAL-1.0),can,can,can,cannot,must,must,can,cannot,NOmentioned,must,must,can,must,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Aladdin Free Public License,can,can,cannot,cannot,NOmentioned,must,cannot,NOmentioned,NOmentioned,NOmentioned,must,cannot,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Clarified Artistic License,can,can,can,cannot,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Frameworx Open License (Frameworx-1.0),can,can,can,cannot,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Freetype Project License (FTL),can,can,can,cannot,must,must,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
JZLib,can,can,NOmentioned,NOmentioned,must,must,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Noweb,can,can,can,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,can,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Qhull,can,can,NOmentioned,cannot,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,must,can,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Rdisc,can,can,can,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
The Don't Ask Me About It,can,can,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned
European Union Public License (EUPL-1.1),can,NOmentioned,can,cannot,must,must,NOmentioned,NOmentioned,can,must,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Unlicense,NOmentioned,can,can,cannot,cannot,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
MiTTY,can,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,cannot,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Fair License,can,can,can,NOmentioned,NOmentioned,must,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Educational Community License (ECL-2.0),can,can,can,cannot,must,must,can,cannot,can,NOmentioned,must,can,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Ubuntu Font License (UFL-1.0),can,can,NOmentioned,NOmentioned,must,must,cannot,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Open Software Licence 3.0,can,can,can,cannot,must,must,can,cannot,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Adaptive Public License 1.0___APL-1.0,can,can,can,cannot,NOmentioned,must,NOmentioned,cannot,can,must,must,can,must,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
ANTLR Software Rights Notice (ANTLR-PD),can,can,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Attribution Assurance License (AAL),can,can,can,cannot,NOmentioned,must,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Common Public License (CPL-1.0),can,can,can,cannot,must,must,can,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Condor Public License (Condor-1.1),can,can,can,cannot,must,must,can,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Do What The F*ck You Want To Public License (WTFPL),can,can,can,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Eiffel Forum License (EFL-2.0),can,can,can,cannot,must,must,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Entessa Public License (Entessa),can,can,can,cannot,NOmentioned,must,can,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
EU DataGrid Software License (EUDatagrid),can,can,can,cannot,NOmentioned,must,can,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
