,Distribute,Modify,Commercial Use,Hold Liable,Include Copyright,Include License,Sublicense,Use Trademark,Private Use,Disclose Source,State Changes,Place Warranty,Include Notice,Include Original,Give Credit,Use Patent Claims,Rename,Relicense,Contact Author,Include Install Instructions,Compensate for Damages,Statically Link,Pay Above Use Threshold
GNU Lesser General Public License (LGPL-3.0),can,can,can,cannot,must,must,cannot,NOmentioned,NOmentioned,must,must,can,NOmentioned,must,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned
Commons Clause License Condition v1.0,can,can,cannot,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
TrackingTeam Licence,can,can,cannot,cannot,must,must,can,cannot,can,NOmentioned,must,can,must,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Very Simple Public License (VSPL),can,can,can,cannot,must,must,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Unreal Engine End User License Agreement v9,can,can,can,cannot,NOmentioned,must,cannot,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,must,NOmentioned
IDGAF,can,can,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Air Software EULA,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
The Spice Software License Version 1.1 (Spice-1.1),can,can,can,cannot,must,must,can,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Apache License 1.1 (Apache-1.1),can,can,can,cannot,must,must,can,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Apache License 1.0 (Apache-1.0),can,can,can,cannot,must,must,can,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Mug Foundation open formats license,can,NOmentioned,can,cannot,must,must,NOmentioned,cannot,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,must,can,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
CeCILL Free Software License Agreement v1.0 (CECILL-1.0),can,can,can,can,must,must,NOmentioned,NOmentioned,NOmentioned,must,must,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
CeCILL Free Software License Agreement v1.1 (CECILL-1.1),can,can,can,can,must,must,NOmentioned,NOmentioned,NOmentioned,must,must,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
CeCILL Free Software License Agreement v2.0 (CECILL-2.0),can,can,can,can,must,must,NOmentioned,NOmentioned,NOmentioned,must,must,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Simple non code license (SNCL),can,can,cannot,cannot,must,must,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Apple MIT License (AML),can,can,can,cannot,must,must,can,cannot,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Xerox (Xerox),can,can,can,cannot,must,must,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Zope Public License 1.1___ZPL-1.1,can,can,can,cannot,must,must,NOmentioned,cannot,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Zope Public License 2.0___ZPL-2.0,can,can,can,cannot,must,must,NOmentioned,cannot,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Mozilla Public License 1.0 (MPL-1.0),can,can,can,cannot,must,must,can,NOmentioned,NOmentioned,must,must,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Open Software License 1.0___OSL-1.0,can,can,can,cannot,must,must,can,cannot,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Open Software License 1.1___OSL-1.1,can,can,can,cannot,must,must,can,cannot,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Open Software License 2.0___OSL-2.0,can,can,can,cannot,must,must,can,cannot,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Open Software License 2.1___OSL-2.1,can,can,can,cannot,must,must,can,cannot,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Tcl license,can,can,can,cannot,must,must,can,NOmentioned,can,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
BSD-4-Clause,can,can,can,cannot,must,must,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Universal Permissive License 1.0 (UPL-1.0),can,can,can,cannot,must,must,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Unlicence,can,can,can,cannot,NOmentioned,NOmentioned,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Fair Source License (Fair-Source-0.9),can,can,can,cannot,must,must,cannot,cannot,can,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must
Free Public License 1.0.0,can,can,can,cannot,NOmentioned,NOmentioned,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
hx711_SPI license,NOmentioned,NOmentioned,cannot,NOmentioned,must,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,can,NOmentioned,NOmentioned,NOmentioned
Mechanical license,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can
FusionLord Custom License,cannot,can,cannot,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Sleepycat License,can,can,can,cannot,NOmentioned,must,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Getindor Glee License (GGL),can,can,can,cannot,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Use use use License,NOmentioned,NOmentioned,can,cannot,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Mts license,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must
gridSlider license,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Jared M.F. Open Source Public License,can,can,cannot,cannot,must,NOmentioned,can,NOmentioned,can,cannot,must,can,NOmentioned,must,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned
Jared M.F. Public License,can,can,can,cannot,must,NOmentioned,can,NOmentioned,can,cannot,must,can,NOmentioned,must,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned
3dfx Glide license,can,can,can,cannot,NOmentioned,must,can,NOmentioned,can,must,must,cannot,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Abstyles license,can,can,can,cannot,must,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Academy of Motion Picture Arts and Sciences BSD,can,can,can,cannot,must,NOmentioned,NOmentioned,cannot,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Adobe Glyph List,can,can,can,cannot,must,NOmentioned,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Adobe Postscript AFM,can,can,NOmentioned,cannot,must,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,must,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Adobe Systems Incorporated Source Code License Agreement,can,can,can,cannot,NOmentioned,NOmentioned,NOmentioned,cannot,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned
Afmparse license,can,can,can,cannot,must,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned
Amazon Digital Services,can,can,can,cannot,must,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
ANTLR Software Rights Notice,can,can,can,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Barr license,can,can,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Borceux license,can,can,can,NOmentioned,can,NOmentioned,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned
CMU license,can,can,must,cannot,must,must,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Cube license,can,can,can,cannot,must,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned,cannot,NOmentioned,NOmentioned
curl license,can,can,can,cannot,must,must,can,cannot,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
diffmark license,can,can,can,cannot,can,can,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
DOC License,can,can,can,cannot,must,must,NOmentioned,cannot,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned
DSDP License,can,can,can,cannot,must,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Eurosym license,can,can,NOmentioned,cannot,must,NOmentioned,NOmentioned,cannot,can,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Giftware license,can,can,can,cannot,can,can,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Glulxe license,can,can,can,NOmentioned,must,must,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Haskell Language Report,can,can,can,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
No Limit Public license,can,can,can,NOmentioned,can,can,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
psutils license,can,can,can,cannot,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,must,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
BSD 0-Clause License (BSD),can,can,can,cannot,can,can,can,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Wizardry license,can,can,cannot,cannot,NOmentioned,must,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
XSkat license,can,can,can,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Zed license,can,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Sendmail license,can,can,can,cannot,NOmentioned,must,NOmentioned,NOmentioned,can,must,NOmentioned,can,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
TORQUE Software License v1.1,can,can,cannot,cannot,must,NOmentioned,NOmentioned,NOmentioned,can,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
SYCL license,can,can,cannot,cannot,NOmentioned,NOmentioned,can,cannot,cannot,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,must,cannot,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,can,NOmentioned
Code Energy Public License (CEPL-1.0),can,can,can,cannot,must,NOmentioned,can,cannot,can,must,NOmentioned,NOmentioned,must,NOmentioned,must,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Simple Non Code License (SNCL),can,can,NOmentioned,cannot,must,must,NOmentioned,cannot,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,must,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
Dell Mohali,NOmentioned,NOmentioned,can,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned,NOmentioned
